時間戳記,你認為「元宇宙」是什麼?
2022/11/15 上午 10:04:07,未來世界 就是宇宙
2022/11/15 上午 10:22:51,大概就是…類似無邊際地圖吧，還有ww看起來好油（喂～
2022/11/15 上午 10:23:51,虛擬世界
2022/11/15 上午 10:24:15,刀劍神域
2022/11/15 上午 10:25:08,虛擬世界
2022/11/15 上午 10:26:17,虛擬世界 有點類似不能犯罪的GTA
2022/11/15 上午 10:26:30,虛擬世界
2022/11/15 上午 10:28:56,作業自己寫XD
2022/11/15 上午 10:33:38,很神秘
2022/11/15 上午 10:51:48,和現實世界緊密連結的虛擬世界
2022/11/15 上午 10:52:42,一個虛擬的世界
2022/11/15 上午 10:54:17,想看醜照哈哈哈
2022/11/15 上午 10:54:22,吸金神器
2022/11/15 上午 10:57:14,虛擬世界
2022/11/15 上午 10:58:11,幹這是什麼
2022/11/15 上午 10:59:55,可以當炒股的題材
2022/11/15 上午 11:42:18,虛擬世界的自己
2022/11/15 上午 11:56:37,虛擬世界
2022/11/15 下午 12:16:21,虛擬的世界
2022/11/15 下午 12:54:01,把自己上傳到線上
2022/11/15 下午 2:02:57,讓大家可以在線上相遇的東西
2022/11/15 下午 2:41:57,虛擬世界
2022/11/15 下午 2:51:32,虛擬建構的世界，可以打破現實中距離的限制，也能把許多想像具體化
2022/11/15 下午 3:19:15,外太空
2022/11/15 下午 3:27:25,一個充滿潛力的新發展可能
2022/11/15 下午 4:56:16,宇宙
2022/11/15 下午 5:30:01,虛擬空間
2022/11/15 下午 10:08:26,另一次元定義的世界之一
2022/11/15 下午 11:36:05,meta
2022/11/15 下午 11:36:19,Mr
2022/11/16 上午 1:51:04,小宇宙
2022/11/16 上午 1:56:09,是一個接下來發展會大到我無法想像的世界
2022/11/16 上午 1:58:31,錢？