時間戳記,年紀,性別,Mincraft內建【可以】將 2D 變成 3D 的功能，能幫助你了解元宇宙的意義,Mincraft【沒有】內建將 2D 變成 3D 的功能，也能幫助你了解元宇宙的意義,【搭配】3D浮影裝置，能幫助你創造元宇宙,【沒有】3D浮影裝置，也能幫助你創造元宇宙,【使用】NFT上架作品，能幫助你體會元宇宙的價值交換及所有權的意義,【沒有】NFT上架作品，也能幫助你體會元宇宙的價值交換及所有權的意義,你覺得元宇宙是甚麼？
11/5/2022 11:23:11,11,女,既不同意也不反對,既不同意也不反對,既不同意也不反對,同意,不同意,同意,虛擬世界
11/5/2022 11:26:01,12,女,同意,不同意,同意,同意,同意,不同意,線上三維虛擬遊戲
11/6/2022 15:21:29,12,男,同意,不同意,既不同意也不反對,既不同意也不反對,同意,不同意,Meta(bruh)
11/5/2022 11:20:40,13,男,堅決同意,不同意,同意,強烈反對,同意,不同意,另一個世界
11/5/2022 15:17:31,12,男,同意,同意,同意,同意,同意,同意,就宇宙（？
11/5/2022 15:18:06,14,男,同意,同意,同意,同意,同意,同意,虛擬世界
11/5/2022 15:18:54,11,女,同意,同意,同意,同意,同意,同意,3D的東西
11/6/2022 11:27:59,16,女,同意,同意,同意,同意,同意,同意,創造自己想要的異世界
11/6/2022 11:35:35,15,女,同意,同意,同意,同意,同意,同意,是可以創作內心想法的虛擬社交連結之網路
11/6/2022 11:38:12,17,女,同意,同意,同意,同意,同意,同意,虛擬世界的真實世界
11/6/2022 11:41:56,15,女,同意,同意,同意,同意,同意,同意,創造出自己的想像空間
11/6/2022 15:20:31,10,男,同意,同意,同意,同意,同意,同意,"想像
"
11/6/2022 11:25:28,16,女,同意,既不同意也不反對,同意,同意,同意,同意,虛擬世界
11/6/2022 11:31:31,16,女,同意,既不同意也不反對,同意,同意,同意,同意,在一個虛擬不存在的空間創造(構想)自己可能需要或理想的世界和空間，進而滿足自己或大眾的需求
11/6/2022 15:19:40,13,男,同意,既不同意也不反對,同意,既不同意也不反對,同意,同意,I think it is a thing that help human imagine how a new world that have a modern concepts will like.
11/6/2022 15:20:20,16,女,同意,既不同意也不反對,同意,既不同意也不反對,同意,同意,一個由人類想出並且創作出的世界
11/5/2022 11:20:41,10,男,堅決同意,既不同意也不反對,既不同意也不反對,同意,同意,同意,?????????
11/5/2022 11:21:20,16,女,同意,不同意,既不同意也不反對,同意,同意,既不同意也不反對,立體的虛擬世界
11/6/2022 11:25:57,16,男,同意,同意,同意,同意,同意,既不同意也不反對,虛擬現實世界
11/6/2022 15:18:45,10,男,同意,同意,同意,同意,同意,既不同意也不反對,.....
11/5/2022 11:20:45,8,女,同意,既不同意也不反對,同意,同意,同意,既不同意也不反對,不是什麼
11/6/2022 15:20:56,11,女,同意,既不同意也不反對,既不同意也不反對,同意,同意,既不同意也不反對,3D 虛擬世界在真實世界中要有存在感
11/6/2022 11:33:23,16,女,堅決同意,既不同意也不反對,同意,同意,同意,既不同意也不反對,達爾文進化論
11/6/2022 11:43:33,16,女,堅決同意,堅決同意,堅決同意,同意,同意,既不同意也不反對,自由的世界
11/5/2022 15:20:26,11,女,同意,同意,同意,同意,既不同意也不反對,同意,宇宙
11/6/2022 15:18:29,12,男,同意,同意,同意,同意,既不同意也不反對,同意,一個虛擬的世界
11/6/2022 15:22:47,11,男,同意,同意,同意,同意,既不同意也不反對,同意,沒有打安
11/5/2022 11:24:58,12,女,同意,既不同意也不反對,同意,既不同意也不反對,既不同意也不反對,同意,二維跟三維的連結的感覺：）哲學以及現實
11/6/2022 15:19:18,12,女,既不同意也不反對,同意,既不同意也不反對,既不同意也不反對,既不同意也不反對,同意,虛擬世界
11/6/2022 11:25:51,16,女,同意,不同意,同意,不同意,既不同意也不反對,既不同意也不反對,是一個大家不用見面就可以交流的地方
11/6/2022 15:23:05,15,男,同意,同意,同意,既不同意也不反對,既不同意也不反對,既不同意也不反對,將現實生活融入到虛擬世界中
11/5/2022 11:25:52,12,女,同意,既不同意也不反對,同意,堅決同意,既不同意也不反對,既不同意也不反對,線上三維空間
11/6/2022 11:34:18,16,女,同意,既不同意也不反對,同意,既不同意也不反對,既不同意也不反對,既不同意也不反對,適者生存的動物世界
11/6/2022 11:51:13,16,女,同意,既不同意也不反對,同意,同意,既不同意也不反對,既不同意也不反對,人創造出來的虛擬世界
11/6/2022 15:19:21,10,女,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,ar vr mr吧？
11/5/2022 15:19:12,11,女,同意,同意,既不同意也不反對,同意,既不同意也不反對,堅決同意,"
圓宇宙"
11/5/2022 15:17:16,13歲,男,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,堅決同意,我覺得元宇宙不錯
11/6/2022 15:19:13,10,女,同意,不同意,同意,不同意,堅決同意,不同意,虛擬的東西
11/6/2022 15:21:05,15,女,同意,同意,同意,同意,堅決同意,同意,運用電腦等電子產品創造不一樣的空間並使用它
11/6/2022 11:27:15,16,女,同意,同意,堅決同意,同意,堅決同意,既不同意也不反對,是由自己創造的世界
11/6/2022 15:21:52,10,女,堅決同意,同意,堅決同意,既不同意也不反對,堅決同意,堅決同意,不知道
11/5/2022 15:16:54,14,女,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,一個有趣得東西
11/5/2022 15:17:34,14,女,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,虛擬世界
11/6/2022 11:50:42,15,女,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,想像中的美好世界（？
11/6/2022 11:50:49,15,女,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,3D想像世界
11/6/2022 15:55:49,13,男,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,"虛擬世界
"
11/12/2022 11:23:41,40,男,同意,不同意,同意,同意,同意,同意,"
人類意識延伸的領域"
11/12/2022 11:24:35,9,男,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,沒有什麼
11/12/2022 11:25:42,10,男,堅決同意,堅決同意,堅決同意,強烈反對,既不同意也不反對,既不同意也不反對,idk
11/12/2022 11:26:02,13,男,同意,同意,堅決同意,同意,同意,既不同意也不反對,自己創造的世界
11/12/2022 11:26:11,12,男,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,虛擬世界
11/12/2022 11:26:17,10,女,同意,同意,同意,既不同意也不反對,同意,同意,是科技
11/12/2022 11:26:19,45,女,同意,既不同意也不反對,同意,不同意,同意,既不同意也不反對,虛擬的現實
11/12/2022 11:28:01,12,女,堅決同意,強烈反對,堅決同意,強烈反對,堅決同意,強烈反對,虛擬的世界
11/12/2022 11:44:39,50,男,堅決同意,既不同意也不反對,堅決同意,堅決同意,堅決同意,堅決同意,是一個豐富世界
11/12/2022 11:47:49,29,男,同意,不同意,同意,不同意,同意,同意,一個可以容納每個（人）宇宙的空間
11/12/2022 11:54:33,13,男,同意,同意,同意,同意,同意,同意,很酷的東西
11/12/2022 12:02:37,12,女,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,...
11/12/2022 15:09:09,11,女,堅決同意,強烈反對,堅決同意,既不同意也不反對,堅決同意,強烈反對,幫助學習與思考
11/12/2022 15:10:09,10,男,強烈反對,同意,同意,同意,同意,同意,想像
11/12/2022 15:11:47,12,女,同意,既不同意也不反對,同意,既不同意也不反對,同意,既不同意也不反對,虛擬世界
11/12/2022 15:12:18,14,男,同意,堅決同意,同意,同意,同意,同意,我覺得是一個！多個世界重疊交錯在同一個世界！
11/12/2022 15:13:34,10歲,男,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,人創造的東西
11/12/2022 15:16:19,6歲,男,同意,同意,同意,同意,同意,同意,"蓋動物的基地
"
11/12/2022 15:16:36,13,男,堅決同意,既不同意也不反對,同意,既不同意也不反對,堅決同意,既不同意也不反對,網路上的地球世界
11/12/2022 15:16:55,8,女,同意,同意,同意,同意,同意,同意,虛擬世界
11/12/2022 15:17:07,8,男,同意,同意,同意,同意,同意,同意,不知道
11/12/2022 15:18:39,10,男,強烈反對,不同意,強烈反對,強烈反對,同意,堅決同意,MINECRAFT
11/12/2022 15:19:28,8歲,女,既不同意也不反對,既不同意也不反對,既不同意也不反對,同意,同意,不同意,想像
11/12/2022 15:30:16,10,女,不同意,同意,既不同意也不反對,同意,同意,同意,很多人在同一個網路世界
11/12/2022 15:32:33,11歲,男,堅決同意,強烈反對,堅決同意,強烈反對,堅決同意,強烈反對,讓我學習到更多東西
11/12/2022 15:35:00,12,男,同意,堅決同意,同意,同意,堅決同意,堅決同意,"可以在裡面創造自己的東西的世界，以及買賣交易。
"
11/12/2022 15:35:41,10歲,男,同意,強烈反對,同意,既不同意也不反對,同意,同意,元宇宙非常好玩 也可以蓋建築
11/13/2022 11:19:32,12,女,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,就是人類打造的宇宙
11/13/2022 11:19:40,12,女,堅決同意,同意,同意,同意,同意,同意,人類打造的宇宙
11/13/2022 11:20:32,12,男,同意,同意,同意,同意,同意,同意,人類打造的宇宙
11/13/2022 11:21:35,9歲,女,同意,同意,同意,同意,同意,同意,有無限的可能
11/13/2022 11:23:39,13,男,堅決同意,堅決同意,堅決同意,同意,堅決同意,不同意,虛擬世界
11/13/2022 11:23:39,13,男,同意,不同意,同意,不同意,同意,不同意,某種虛擬世界
11/13/2022 11:25:30,9,女,同意,同意,同意,既不同意也不反對,既不同意也不反對,堅決同意,夢想世界
11/13/2022 11:27:03,12,男,同意,同意,同意,同意,同意,既不同意也不反對,"一個虛擬的地方
"
11/13/2022 11:27:10,9,女,同意,同意,同意,既不同意也不反對,既不同意也不反對,同意,奇特世界
11/13/2022 11:27:16,12,男,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,既不同意也不反對,是一個東西
11/13/2022 11:29:27,9,男,同意,不同意,同意,既不同意也不反對,同意,不同意,想像的世界
11/13/2022 11:29:39,13,男,同意,既不同意也不反對,同意,不同意,堅決同意,既不同意也不反對,由使用者創造的世界，擁有高度的自由
11/13/2022 11:38:09,12,男,同意,同意,同意,同意,同意,同意,不太清楚
11/13/2022 11:39:20,12,男,同意,堅決同意,同意,同意,堅決同意,既不同意也不反對,是人類造的宇宙
11/13/2022 11:43:32,13,男,堅決同意,強烈反對,堅決同意,堅決同意,堅決同意,堅決同意,虛擬世界
11/13/2022 15:23:58,12,女,同意,同意,同意,同意,同意,同意,虛擬世界
11/13/2022 15:24:06,9,男,同意,同意,同意,同意,同意,既不同意也不反對,有趣的體驗
11/13/2022 15:24:42,11,女,同意,同意,同意,同意,同意,同意,虛擬世界
11/13/2022 15:24:50,10,女,同意,同意,同意,同意,同意,同意,"人創造的宇宙
"
11/13/2022 15:25:00,11,女,同意,同意,同意,同意,同意,同意,自行想像
11/13/2022 15:25:22,11,女,堅決同意,強烈反對,堅決同意,強烈反對,堅決同意,強烈反對,虛擬立體的世界
11/13/2022 15:25:27,10,男,同意,同意,堅決同意,同意,同意,同意,不知道
11/13/2022 15:25:47,16,女,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,堅決同意,一個全新能夠展現自我的網路世界
11/13/2022 15:26:05,13,男,同意,既不同意也不反對,同意,同意,同意,既不同意也不反對,人們想像與創創造力的匯聚中心
11/13/2022 15:26:39,25,女,同意,不同意,同意,既不同意也不反對,同意,同意,虛擬世界
11/13/2022 15:34:51,13,女,同意,同意,同意,既不同意也不反對,同意,既不同意也不反對,不知道
11/13/2022 15:35:06,10,男,同意,同意,同意,同意,同意,同意,不知道
